row_no,cand_id,version,op,status,title,conditions,difficulty,cause_hypothesis,possible_change,strongest_alternative,decision_shift,next_cheap_check,new_evidence,new_evidence_source,evidence_judgment,old_topic_match,similar_to,merged_into,supersedes_row,content_hash,source,writer,written_at,note
42,c24abb72218,1,add,awaiting_evidence,run2-C2 负载过程是训练与评估的共享盲区：同均值突发扫描协议,"Traffic-Aware MARL 负载=外生队列采样（占用率~N(μz,0.1μz)）、明确""不是时间相关的""、时间特征从状态删除；SaTE 最好只到 1s 粒度泊松",流量模型普遍无时间过程：负载只有空间快照没有突发结构；训练与评估共享同一简化,外生队列模型的断裂——真实突发的相关性/持续时间不在任何模型内,"同均值突发扫描协议（CV×T_on×ρ 网格）+ 训练域随机化 + 状态 (q,Δq,EWMA) 三通道",CBR 与 ON-OFF 同均值策略性能无差异则本卡无空间,评估协议 + 训练分布 + 状态通道,20 篇流量模型审计表 + 一个已训策略 CBR vs ON-OFF 同均值对照，1 天,,,,,,,,h24abb7221850,run2/path-C-burst.md 卡C2,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
43,c6f6c2b12ad,1,add,awaiting_evidence,run2-C3 突发负载下瞬时队列快照的信息可辨识性,突发使队列快照与真实负载状态解耦；状态无年龄/变化率语义（LOZANO/QARR 状态为瞬时值）,陈旧或偏样本观测系统性误导逐跳策略，且突发下快照信息量骤降,快照不含变化率与信息年龄，策略把瞬时高队列误判为持续拥塞,信息年龄戳 + EWMA_τ(q) + 按年龄加权 TD（α_i=α0·f(a_j)，一行式改动）,直接提高 hello 频率消除陈旧（若开销可接受）；加 Δq 单特征即够,观测端（信息可辨识性）,"人工陈旧化 δ∈{0,0.5,1,2}×hello 周期，画平稳 vs 突发两条性能-陈旧度曲线，1 天",,,,,,,,h6f6c2b12addf,run2/path-C-burst.md 卡C3,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
44,cc0e429067b,2,merge,merged,run2-B2 热点迁移下的决策面拥塞：推理成本作独立到达率损失通道,热点迁移使推理负载与数据负载同步集中；S85KQ4FC 图2 实测 21k pps 时 DNN 决策时延 17.5ms、丢包 21%,文献全部未把推理丢包计入到达率口径——收益被高估、退化被误归因,控制面（推理）与数据面共享资源，热点迁移同时压垮二者,事件触发+流级动作复用（不改学习算法）,决策时延占比 <5% 则本卡无空间（淘汰线）,决策执行机制,测决策时延占比与推理丢包占比，1–2 天,,,,,,c37b7753f31,,hc0e429067b0b,run2/path-B-hotspot.md 卡B2,agent/20260910-topic-loop,2026-09-11T03:40:21+0800,merge -> c37b7753f31: 批内对账§8.0组1：与A3同承重锚(S85KQ4FC图2)同机制族(降推理调用频次)，仅入口叙事不同；资产并入A3
45,c6f6c2b12ad,2,merge,merged,run2-C3 突发负载下瞬时队列快照的信息可辨识性,突发使队列快照与真实负载状态解耦；状态无年龄/变化率语义（LOZANO/QARR 状态为瞬时值）,陈旧或偏样本观测系统性误导逐跳策略，且突发下快照信息量骤降,快照不含变化率与信息年龄，策略把瞬时高队列误判为持续拥塞,信息年龄戳 + EWMA_τ(q) + 按年龄加权 TD（α_i=α0·f(a_j)，一行式改动）,直接提高 hello 频率消除陈旧（若开销可接受）；加 Δq 单特征即够,观测端（信息可辨识性）,"人工陈旧化 δ∈{0,0.5,1,2}×hello 周期，画平稳 vs 突发两条性能-陈旧度曲线，1 天",,,,,,cc24a3f94e5,,h6f6c2b12addf,run2/path-C-burst.md 卡C3,agent/20260910-topic-loop,2026-09-11T03:40:21+0800,merge -> cc24a3f94e5: 历史审查判③+批内对账组4：机制(年龄戳+EWMA+按龄加权TD)为F1家族卡真子集，核验为其参数化变体；C3停止独立推进
46,c77e62eb00f,2,merge,merged,run2-A1 负载合同审计+固定策略强度扫描+强度条件化输入,逐包逐跳 RL 路由；策略在单一强度 ℓ 训练、部署到不同强度；库内 11 篇全文抽查无一报告训练-评估强度分离实验（QRLSN 锁死 Poi(5)；SaTE 为监督侧唯一混强度对等物）,跨强度失配退化曲线在库内缺失：多数论文不披露训练负载合同，做负载扫描者视其为对比曲线而非泛化测试,训练覆盖不足使价值函数在未访问强度区间外推有偏（信息侧：策略无从感知强度标量）,先测出第一条跨强度退化曲线（0.25–4× 冻结扫描 vs 每强度重训差值），再让策略显式感知强度：状态注入 λ̂/λ_ref,普通混载训练可吃掉 60–80%（若漂移主导）,测量协议 + 状态条件化,SatCom-TELMA 开源仿真器复现 Poi(5) DQN + 冻结策略强度扫描，1–2 天,,,,,,cc029fa6119,,h77e62eb00ff7,run2/path-A-intensity.md 卡A1,agent/20260910-topic-loop,2026-09-11T03:40:21+0800,merge -> cc029fa6119: 历史审查判③+批内对账组5：与run1-B3条件重合/原因逐字级近同/第一核验近重合/方法件互换；资产(合同审计表+重训差值归因)并入B3
47,c37b7753f31,2,status_change,recommended_pending_review,run2-A3 塌陷先发生在决策器：推理排队瓶颈与前兆,逐包 RL 推理有物理时延与缓存上限（M/D/C/N）；21k pps 实测决策时延 17.5ms、丢包 21%（S85KQ4FC 图2）,塌陷形状分两型：推理缓存硬悬崖 vs 链路饱和渐变；多数论文不建模决策器排队，退化归因可能错位,到达率上升使推理排队饱和，决策缓存溢出丢包——这是独立于链路拥塞的到达率损失通道,双粒度决策（flow table 命中沿用 + θ_dec 超限/miss 触发 DNN 推理）+ 决策缓存占用作前兆 + 超限降级规则路由,纯链路容量解释（若决策时延占比 <5%）；现有推理加速/批处理优化即可消除,决策结构与推理物理,加 M/D/C/N 决策器模块测悬崖右移与前兆曲线，1–2 天,,,,,,,,h37b7753f3192,run2/path-A-intensity.md 卡A3,agent/20260910-topic-loop,2026-09-11T03:59:24+0800,status_change: t
48,c806e1db789,2,status_change,needs_revision,run2-A2 强度三通道分解→相对化状态+溢出约束更新,强度变化同时改变占用分布/奖励尺度/最优结构三通道；现有方法未分离三者贡献,无法判断退化来自占用分布漂移、奖励尺度失配还是最优动作结构改变，导致改动选错靶,奖励尺度随负载变化使 Q 值量级漂移，且最优结构（是否绕行）整体改变,相对化状态（邻居占用秩+均值偏移）+ 溢出约束对偶更新（约束 P(overflow)≤ε，借用 C-DQN 的奖励尺度免疫论证）,混合负载训练+简单归一化即可（若尺度主导）；规则路由兜底（若结构主导）,状态表示 + 约束式更新,同平台双状态变体对照，1–2 天,,,,,,,,h806e1db7896e,run2/path-A-intensity.md 卡A2,agent/20260910-topic-loop,2026-09-11T03:59:24+0800,status_change: 草稿阶段
49,cc0e429067b,3,status_change,archived,run2-B2 热点迁移下的决策面拥塞：推理成本作独立到达率损失通道,热点迁移使推理负载与数据负载同步集中；S85KQ4FC 图2 实测 21k pps 时 DNN 决策时延 17.5ms、丢包 21%,文献全部未把推理丢包计入到达率口径——收益被高估、退化被误归因,控制面（推理）与数据面共享资源，热点迁移同时压垮二者,事件触发+流级动作复用（不改学习算法）,决策时延占比 <5% 则本卡无空间（淘汰线）,决策执行机制,测决策时延占比与推理丢包占比，1–2 天,,,,,,c37b7753f31,,hc0e429067b0b,run2/path-B-hotspot.md 卡B2,agent/20260910-topic-loop,2026-09-11T03:59:24+0800,status_change: 淘汰
50,c806e1db789,3,status_change,awaiting_evidence,run2-A2 强度三通道分解→相对化状态+溢出约束更新,强度变化同时改变占用分布/奖励尺度/最优结构三通道；现有方法未分离三者贡献,无法判断退化来自占用分布漂移、奖励尺度失配还是最优动作结构改变，导致改动选错靶,奖励尺度随负载变化使 Q 值量级漂移，且最优结构（是否绕行）整体改变,相对化状态（邻居占用秩+均值偏移）+ 溢出约束对偶更新（约束 P(overflow)≤ε，借用 C-DQN 的奖励尺度免疫论证）,混合负载训练+简单归一化即可（若尺度主导）；规则路由兜底（若结构主导）,状态表示 + 约束式更新,同平台双状态变体对照，1–2 天,,,,,,,,h806e1db7896e,run2/path-A-intensity.md 卡A2,agent/20260910-topic-loop,2026-09-11T03:59:31+0800,status_change: 回滚测试写入（gate_verdict 集成测试误改；原状态 awaiting_evidence）
51,cc0e429067b,4,status_change,merged,run2-B2 热点迁移下的决策面拥塞：推理成本作独立到达率损失通道,热点迁移使推理负载与数据负载同步集中；S85KQ4FC 图2 实测 21k pps 时 DNN 决策时延 17.5ms、丢包 21%,文献全部未把推理丢包计入到达率口径——收益被高估、退化被误归因,控制面（推理）与数据面共享资源，热点迁移同时压垮二者,事件触发+流级动作复用（不改学习算法）,决策时延占比 <5% 则本卡无空间（淘汰线）,决策执行机制,测决策时延占比与推理丢包占比，1–2 天,,,,,,c37b7753f31,,hc0e429067b0b,run2/path-B-hotspot.md 卡B2,agent/20260910-topic-loop,2026-09-11T03:59:31+0800,status_change: 回滚测试写入（gate_verdict 集成测试误改；原状态 merged）
52,c9bbc1f6604,2,revise,recommended_pending_review,run2-B1 热点可辨识性：拥塞场相位注入观测,"地转+人口决定的拥塞场是（星下点,UTC）近似确定函数；现有观测只有队列快照；CMNCS52M 表3 静态 zone 模型 RL NMB≈15%，时变 population/traffic 恶化至 40–70%",逐跳策略被迫反应式追逐热点，MDP 一致性被破坏（状态不含决定拥塞位置的相位变量）,信息不可辨识：同样队列快照可能对应不同未来热点位置，策略无法区分,状态注入轨道相位+邻域队列斜率（不改网络结构/奖励）,zone 静态模型可得同增益则驳回；单纯增加训练分布覆盖（混热点位置训练）可吃掉大部分,观测特征（信息可辨识性）,测试,,,,,,,38,h7bb1eaaf5afa,run2/path-B-hotspot.md 卡B1,agent/20260910-topic-loop,2026-09-11T04:08:20+0800,revise: 测试绕过
53,c9bbc1f6604,3,revise,recommended_pending_review,run2-B1 热点可辨识性：拥塞场相位注入观测,"地转+人口决定的拥塞场是（星下点,UTC）近似确定函数；现有观测只有队列快照；CMNCS52M 表3 静态 zone 模型 RL NMB≈15%，时变 population/traffic 恶化至 40–70%",逐跳策略被迫反应式追逐热点，MDP 一致性被破坏（状态不含决定拥塞位置的相位变量）,信息不可辨识：同样队列快照可能对应不同未来热点位置，策略无法区分,状态注入轨道相位+邻域队列斜率（不改网络结构/奖励）,zone 静态模型可得同增益则驳回；单纯增加训练分布覆盖（混热点位置训练）可吃掉大部分,观测特征（信息可辨识性）,y,,,,,,,52,hba6e304fc3b2,run2/path-B-hotspot.md 卡B1,agent/20260910-topic-loop,2026-09-11T04:10:49+0800,revise: 测试
54,c9bbc1f6604,4,status_change,awaiting_evidence,run2-B1 热点可辨识性：拥塞场相位注入观测,"地转+人口决定的拥塞场是（星下点,UTC）近似确定函数；现有观测只有队列快照；CMNCS52M 表3 静态 zone 模型 RL NMB≈15%，时变 population/traffic 恶化至 40–70%",逐跳策略被迫反应式追逐热点，MDP 一致性被破坏（状态不含决定拥塞位置的相位变量）,信息不可辨识：同样队列快照可能对应不同未来热点位置，策略无法区分,状态注入轨道相位+邻域队列斜率（不改网络结构/奖励）,zone 静态模型可得同增益则驳回；单纯增加训练分布覆盖（混热点位置训练）可吃掉大部分,观测特征（信息可辨识性）,y,,,,,,,52,hba6e304fc3b2,run2/path-B-hotspot.md 卡B1,agent/20260910-topic-loop,2026-09-11T04:10:57+0800,status_change: 回滚 gate_verdict 集成测试的写入（原状态 awaiting_evidence）
